image_request,secrecy,trust_building,meetup,emotion,label
0.99,0.98,0.95,0.40,0.10,1
0.95,0.90,0.88,0.30,0.20,1
0.92,0.85,0.80,0.25,0.15,1
0.88,0.80,0.75,0.20,0.10,1
0.85,0.78,0.70,0.35,0.12,1
0.80,0.75,0.72,0.30,0.18,1
0.78,0.70,0.68,0.22,0.10,1
0.70,0.65,0.60,0.15,0.05,1
0.65,0.60,0.55,0.10,0.08,1
0.60,0.58,0.50,0.12,0.07,1
0.10,0.05,0.02,0.01,0.00,0
0.05,0.02,0.01,0.00,0.00,0
0.12,0.08,0.05,0.02,0.01,0
0.15,0.10,0.08,0.03,0.02,0
0.08,0.04,0.03,0.01,0.00,0
0.20,0.15,0.10,0.05,0.03,0
0.25,0.18,0.12,0.06,0.04,0
0.30,0.20,0.15,0.08,0.05,0
0.18,0.12,0.09,0.04,0.02,0
0.22,0.16,0.11,0.05,0.03,0
0.90,0.88,0.85,0.30,0.25,1
0.87,0.82,0.80,0.28,0.20,1
0.83,0.78,0.76,0.22,0.15,1
0.76,0.70,0.68,0.18,0.10,1
0.72,0.68,0.65,0.15,0.08,1
0.40,0.30,0.20,0.10,0.05,0
0.35,0.25,0.18,0.08,0.04,0
0.30,0.20,0.15,0.05,0.03,0
0.28,0.18,0.12,0.04,0.02,0
0.25,0.15,0.10,0.03,0.01,0
